Bitcoin,"[('bitcoin', 0.46539813442762), ('energy', 0.15685645529174974), ('bitcoins', 0.12066812976539032), ('mining', 0.11076779868866223), ('bitcoin price', 0.08861047119534557), ('fork', 0.08833257702323061), ('wallets', 0.08717658797660476), ('new', 0.07176779047715878), ('transactions', 0.06962003367609809), ('cryptocurrency', 0.06477002087604175), ('hard', 0.06424187419871318), ('nakamoto', 0.061518139055041984), ('transaction', 0.060885155793723826), ('bitcoin mining', 0.058958994177361716), ('consumption', 0.05842780802413916), ('cold wallets', 0.05538154449709098), ('currency', 0.05397462421509096), ('hard fork', 0.053632992510091806), ('btc', 0.05184301726502786), ('crypto', 0.051816016700833405), ('payment', 0.05111448055538285), ('complex', 0.05059906386404339), ('hot', 0.050527247758424064), ('block', 0.04897979372683976), ('cold', 0.04868984002011597), ('network', 0.04841507765015854), ('price', 0.0474733044880342), ('miners', 0.04503251045222437), ('usage', 0.041364639992511804), ('satoshi', 0.04101209270336132), ('use', 0.039061473921518), ('like', 0.03886201252562505), ('blocks', 0.03651034325384489), ('users', 0.03602053580787992), ('cash', 0.035516883169088784), ('renewable energy', 0.03537539650641703), ('takes', 0.03485699006483328), ('renewable', 0.034166567398912766), ('bitcoin price today', 0.034166567398912766), ('process', 0.03300901682123327), ('known', 0.032895140005961304), ('day', 0.032654923424872195), ('satoshi nakamoto', 0.03246281846321688), ('buy bitcoin', 0.03187189094912768), ('soft', 0.031815083179858226), ('required', 0.03140473582399462), ('environmental', 0.030759069527520992), ('bitcoin cash', 0.02991585891091773), ('accept', 0.029550240420016735), ('blockchain', 0.029527237565340897), ('sectors', 0.02921390401206958), ('online', 0.029208274603075915), ('roughly', 0.02890250513665808), ('ones', 0.02761930308055148), ('legal', 0.026816496255045903), ('amounts', 0.02663766237681659), ('countries', 0.02646612991119611), ('financial', 0.026051372242414612), ('remains', 0.025989927093457935), ('mined', 0.025989927093457935), ('coins', 0.025894529720745928), ('decentralized', 0.025851821682985002), ('asset', 0.02571678831059963), ('years', 0.02563617374186595), ('worth', 0.025428833269312334), ('upgrade', 0.025299531932021696), ('cryptocurrencies', 0.02506592440389147), ('number', 0.02499409501149214), ('idea', 0.0249339134411207)]"
Bitcoin Cash,"[('bitcoin', 0.36409150663304185), ('bitcoins', 0.020228874062959562), ('mining', 0.03017491249076007), ('fork', 0.035001019342041036), ('new', 0.030077983270353735), ('transactions', 0.06321868655723488), ('cryptocurrency', 0.02352584698317275), ('hard', 0.035001019342041036), ('transaction', 0.019903303340630087), ('hard fork', 0.029220962676317245), ('btc', 0.02824572714722191), ('payment', 0.023870397550225523), ('block', 0.07624500503472185), ('network', 0.04316412510954379), ('price', 0.023513607671879936), ('miners', 0.049070292204847994), ('use', 0.03648331749724528), ('blocks', 0.05569759428385955), ('users', 0.028035907514655668), ('cash', 0.5127943253883542), ('bitcoin cash', 0.45637515941404055), ('remains', 0.018880186840596655), ('coins', 0.018810886137503948), ('fees', 0.05182376727672985), ('million', 0.01931798943896373), ('exchanges', 0.02352584698317275), ('wallet', 0.01972756083905067), ('peertopeer', 0.03446981774260866), ('payments', 0.04892831338028376), ('supply', 0.018810886137503948), ('converter', 0.021222220597531687), ('time', 0.01992939301448437), ('pairs', 0.022584222670514926), ('means', 0.022312139147446494), ('rate', 0.02352584698317275), ('include', 0.020665833683262913), ('money', 0.0411341911216019), ('global', 0.019699770927466213), ('low', 0.02334487198934596), ('bch', 0.14757746402219182), ('block size', 0.08687015967985921), ('size', 0.07274892667607187), ('million coins', 0.03149401084384532), ('miner', 0.029220962676317245), ('hash', 0.0284867977160215), ('split', 0.028320280260894982), ('bitcoin btc', 0.023688437499101066), ('directly', 0.02357102785142279), ('cash bch', 0.022704225234183358), ('electronic', 0.021222220597531687), ('everyday', 0.02078540762173482), ('person', 0.020588404845549794), ('competitive', 0.020403349182784507), ('produce', 0.020063834757702632), ('physical', 0.01990726281871315), ('separate', 0.01975833164361832), ('settlement', 0.01961633005965408), ('extremely', 0.01922612079187651), ('new blocks', 0.01922612079187651)]"
Bitcoin Gold,"[('bitcoin', 0.33484191396109636), ('mining', 0.038851100273199456), ('fork', 0.030043237905842613), ('hard', 0.060086475811685226), ('hard fork', 0.03344254348493129), ('miners', 0.02807976244754124), ('process', 0.024699098717593425), ('blockchain', 0.07364615547663159), ('went', 0.044380918948052475), ('company', 0.046233897617213186), ('usd', 0.032292769643422196), ('exchanges', 0.03230957868717628), ('tokens', 0.04820558956039869), ('coin', 0.024286269722374458), ('lead', 0.028686746443159855), ('states', 0.02421957723256665), ('supply', 0.05651234687598884), ('started', 0.041528362952194704), ('total', 0.04289059074413418), ('development', 0.054884958818083515), ('technical', 0.02791851223968874), ('developer', 0.025054503925845573), ('aims', 0.03462792864302893), ('cofounder', 0.025386574534350104), ('software', 0.024015497108825664), ('professional', 0.03155075475700302), ('original', 0.043751757059711724), ('university', 0.040268017226331485), ('current', 0.02421957723256665), ('pow', 0.02799851712603995), ('graduated degree', 0.038359281184490626), ('power', 0.025008737536534858), ('proofofwork', 0.025688978714505692), ('service', 0.026781046854216485), ('degree', 0.02958727929870165), ('computer', 0.02761017517662707), ('original bitcoin', 0.04143941160303051), ('introducing', 0.03321952181601594), ('graduated', 0.04890346950153372), ('founding', 0.02807976244754124), ('reserved', 0.03054268405108766), ('gold', 0.29517982867099896), ('goldusdunited states', 0.062159117404545765), ('goldusdunited', 0.062159117404545765), ('bitcoin blockchain', 0.056710753628574334), ('bitcoin gold', 0.3308718702596909), ('yin', 0.062159117404545765), ('relies', 0.04524556199879103), ('equihash', 0.04260873251679837), ('tokens went', 0.04260873251679837), ('asic', 0.039676223642337784), ('mining process', 0.03897648999948409), ('degree computer', 0.03568244341956235), ('unlike', 0.029167838039807815)]"
Wrapped Bitcoin,"[('bitcoin', 0.24942095790982935), ('cryptocurrency', 0.03223277216459243), ('btc', 0.09674870456426639), ('network', 0.07885224628809542), ('use', 0.024992903795096503), ('users', 0.038412007864960164), ('blockchain', 0.02938843335915847), ('ones', 0.027489467858718614), ('financial', 0.029170021146998303), ('decentralized', 0.0694717970168199), ('worth', 0.03796394279769341), ('number', 0.027986175670557875), ('ethereum', 0.12815686138472368), ('eth', 0.039991910736202584), ('ethereum network', 0.03777090253821399), ('burned', 0.0245905815156762), ('usd', 0.025772802463517694), ('backed', 0.021747089478508504), ('fully', 0.02132321216978587), ('exchanges', 0.04512588103042941), ('tokens', 0.12311294706237823), ('wallet', 0.027028738831085464), ('trading', 0.03865920369527654), ('instead', 0.021976308975777795), ('held', 0.02132321216978587), ('finance', 0.02823062140414708), ('serve', 0.02417201157943133), ('decentralized finance', 0.032620634217762755), ('applications', 0.028107207979574205), ('ecosystem', 0.025042692258237995), ('significant', 0.023442829283041002), ('services', 0.028356511516877122), ('centralized', 0.021860129034108527), ('support', 0.028979906191105024), ('token', 0.029124164883438858), ('user', 0.03863987492147336), ('merchants', 0.06988659176370099), ('investment', 0.022750613316885923), ('ratio', 0.03816311233311407), ('liquidity', 0.05637842648877413), ('defi', 0.04390559467955164), ('additionally', 0.02651244173697219), ('wbtc', 0.4317408036759048), ('wrapped', 0.22686869696751275), ('wrapped bitcoin', 0.22165866849034058), ('bitcoinusdunited states', 0.052813651149149154), ('bitcoinusdunited', 0.052813651149149154), ('ren', 0.049609081904818324), ('kyber', 0.049609081904818324), ('erc', 0.04544920616886979), ('basic', 0.04361485912725512), ('standard', 0.04264642433957174), ('balance', 0.04060634688371062), ('integration', 0.03758362554365697), ('advanced', 0.0368858722735143), ('lending', 0.03479870480086169), ('kyber network', 0.034005954227589515), ('trading wrapped', 0.031107067884547104), ('margin', 0.02977522783971757), ('actual', 0.029411328080014603), ('defi applications', 0.02876663772700624), ('respectively', 0.028478095122303967), ('token standard', 0.027715588275482105), ('founded', 0.027341219492283162), ('corporate', 0.02669043493735444), ('send', 0.025867751383963827), ('bringing', 0.025579208779261554), ('associated', 0.02481670193243969), ('decentralized exchanges', 0.0245905815156762), ('opportunities', 0.024481946603928502), ('option', 0.023977455153632744), ('swap', 0.023360010557905483), ('automatically', 0.023120962127907197), ('serves', 0.02261119344164157), ('october', 0.02247627177489883), ('run', 0.021583060260886088)]"
Bitcoin BEP2,"[('bitcoin', 0.23725482768059047), ('cryptocurrency', 0.024528430552633162), ('btc', 0.02454121195703075), ('crypto', 0.049056861105266324), ('network', 0.02500201033904684), ('price', 0.040859449412816794), ('buy bitcoin', 0.04526211276951757), ('coins', 0.02451566964769008), ('decentralized', 0.02937028292875109), ('asset', 0.02434739280540512), ('chain', 0.08989078870819696), ('high', 0.02531447769976214), ('usd', 0.032687559530253436), ('backed', 0.04137264173801478), ('exchanges', 0.024528430552633162), ('tokens', 0.08783085416711622), ('wallet', 0.034280459442445545), ('pegged', 0.033851389740720134), ('trading', 0.032687559530253436), ('issued', 0.028259825369819976), ('coin', 0.03687476621316732), ('reserve', 0.060821053032769606), ('exchange', 0.06302385891300259), ('states', 0.02451566964769008), ('bnb', 0.030291324158694594), ('binance', 0.19320646809285233), ('zhao', 0.04097893734621742), ('supply', 0.032687559530253436), ('proposal', 0.032807982929835604), ('launched', 0.032085039547589116), ('technical', 0.028259825369819976), ('token', 0.03693808132599902), ('main', 0.024705120355895255), ('include', 0.02394059354163626), ('dex', 0.058453820528353996), ('standard', 0.027044158979712567), ('need', 0.02545468714108541), ('traded', 0.026855821502460086), ('using', 0.03356874977473674), ('binance coin', 0.03687772038356702), ('buy', 0.024528430552633162), ('learn', 0.024012274114699216), ('bep', 0.30532469396835177), ('binance chain', 0.16993720037310747), ('address', 0.031188152639396952), ('byzantine', 0.03340911019961645), ('pancakeswap', 0.030785101984748296), ('bep tokens', 0.04016127871858579), ('decentralized exchange', 0.030291324158694594), ('byzantine fault', 0.03433392967764587), ('fault', 0.03362564155746723), ('binance dex', 0.04194602224057444), ('know', 0.03270457407017755), ('dodo bsc', 0.04312963849278225), ('dodo', 0.03826937434619935), ('bepusdunited', 0.06698337786088877), ('bepusdunited states', 0.06698337786088877), ('bsc', 0.031050371342627097), ('hitbtc', 0.029948993663092133)]"
Bitcoin SV,"[('bitcoin', 0.22075953742808652), ('new', 0.027853144828377387), ('transactions', 0.039028308884304384), ('nakamoto', 0.03448646612551209), ('transaction', 0.06143691943780353), ('btc', 0.036328359533824926), ('payment', 0.024560808929437433), ('block', 0.1059078570154163), ('network', 0.05921676711031968), ('miners', 0.050489568446401865), ('satoshi', 0.06897293225102417), ('blocks', 0.024560808929437433), ('cash', 0.02986562517435651), ('known', 0.03319324784662601), ('satoshi nakamoto', 0.03639667605252834), ('blockchain', 0.08276340065862399), ('fees', 0.0499900154865941), ('platform', 0.026650004133834417), ('usd', 0.029032439399753914), ('companies', 0.023852805822935516), ('circulation', 0.02256646895683105), ('developers', 0.029886118096481888), ('protocol', 0.0647427109431923), ('means', 0.02295748050506503), ('aims', 0.031131836970586985), ('scaling', 0.04084378070700927), ('team', 0.02777329385408157), ('networks', 0.02282350491686562), ('software', 0.04318170737076848), ('transaction fees', 0.061562268243037434), ('processing', 0.026223005944150942), ('investment', 0.025628016330963392), ('distributed', 0.031217495425857757), ('original', 0.07866901783245284), ('offer', 0.023852805822935516), ('advanced', 0.0277006960600875), ('data', 0.04191506306835516), ('node', 0.03684121339415616), ('offering', 0.02282350491686562), ('paper', 0.04541332419478837), ('low', 0.024020083419477235), ('bch', 0.07008272108091734), ('block size', 0.03830688597954458), ('size', 0.03207988623003128), ('split', 0.02913939706502243), ('adoption', 0.03820644481405223), ('problem', 0.028365339536176), ('efficient', 0.0265029590286721), ('enterprise', 0.0274590452788757), ('second', 0.023907907706712073), ('transactions second', 0.02782633436852335), ('functionality', 0.02722918713800618), ('white paper', 0.04969672592016364), ('white', 0.04683141102963926), ('original bitcoin', 0.05588343239420016), ('capacity', 0.04479843776153477), ('infrastructure', 0.03430161219179074), ('association', 0.03313115061344243), ('coins circulation', 0.03177583510137276), ('vision', 0.028510309662286844), ('added', 0.026699285658900077), ('scalable', 0.02539435733683659), ('design', 0.025244784223200933)]"
Bitcoin Diamond,"[('bitcoin', 0.1907706343781873), ('price', 0.05519481188445317), ('buy bitcoin', 0.05095177565426643), ('usd', 0.11038962376890633), ('exchanges', 0.05522354190724801), ('trading', 0.05519481188445317), ('states', 0.08279221782667975), ('supply', 0.05519481188445317), ('live', 0.05519481188445317), ('current', 0.05519481188445317), ('coinw', 0.047191319970324844), ('exchanges pageour', 0.060410398752319086), ('pageour recent articles', 0.060410398752319086), ('crypto exchanges pageour', 0.060410398752319086), ('pageour recent', 0.060410398752319086), ('pageour', 0.060410398752319086), ('exchanges pageour recent', 0.060410398752319086), ('dataproductscampaignscalendars btc ethloading', 0.04484143274167894), ('btc ethloading dataplease', 0.04484143274167894), ('btc ethloading', 0.04484143274167894), ('chain dataproductscampaignscalendars btc', 0.04484143274167894), ('dataproductscampaignscalendars btc', 0.04484143274167894), ('ethloading', 0.04474354561777246), ('huobi gateio', 0.052662977679991375), ('kucoin huobi', 0.05314723521791966), ('kucoin huobi gateio', 0.05986740931419163), ('gateio listed', 0.055398153675089816), ('gateio listed crypto', 0.055398153675089816), ('huobi gateio listed', 0.06227013789189616), ('stock currently okx', 0.06376637161427395), ('currently okx', 0.06376637161427395), ('okx coinw', 0.06661862878881306)]"
eCash,"[('bitcoin', 0.18038805617265158), ('fork', 0.06474029756737242), ('cryptocurrency', 0.0261090167574461), ('btc', 0.04353770297011301), ('crypto', 0.0261090167574461), ('price', 0.03479391140432285), ('cash', 0.17896221224181436), ('bitcoin cash', 0.18088777440261594), ('blockchain', 0.0297563259192858), ('coins', 0.02609543355324214), ('cryptocurrencies', 0.025260399466080666), ('layer', 0.02762301632399278), ('proofofstake', 0.025754985467561), ('million', 0.035731884619133486), ('pos', 0.028786856072067418), ('usd', 0.03479391140432285), ('trading', 0.02609543355324214), ('instead', 0.029668552676008556), ('coin', 0.03925093727136728), ('lead', 0.046362891379845846), ('states', 0.02609543355324214), ('supply', 0.03479391140432285), ('developers', 0.05969500363312764), ('developer', 0.04049254056717451), ('highly', 0.030080858722692408), ('november', 0.046820793489562924), ('latest', 0.025916313128652377), ('proofofstake pos', 0.03052566217694522), ('called', 0.02629709226534869), ('avalanche', 0.07158488489672574), ('pow', 0.030167060152868713), ('order', 0.027567932140695358), ('bch', 0.041995299717804226), ('bitcoin btc', 0.029210511035142835), ('cash bch', 0.041995299717804226), ('rebranded', 0.03883566196926085), ('bits', 0.039706009656810426), ('abc', 0.11477216731562945), ('lead developer', 0.05955901448521564), ('quadrillion', 0.041995299717804226), ('fork bitcoin', 0.04073541248217505), ('ambitious', 0.039254081805393)]"
Bitcoin Standard Hashrate Token,"[('bitcoin', 0.1610747324466146), ('bitcoins', 0.03855078766854393), ('mining', 0.10063420342988146), ('bitcoin mining', 0.04897383213168172), ('miners', 0.06234317704270484), ('users', 0.032057334906388756), ('buy bitcoin', 0.03309267438413099), ('decentralized', 0.03221042335607218), ('chain', 0.026886363339615433), ('usd', 0.03584848445282058), ('tokens', 0.04281075539761275), ('wallet', 0.03759541963420869), ('trading', 0.026886363339615433), ('daily', 0.03390569921511368), ('application', 0.02826180478892385), ('goal', 0.028236479303550218), ('states', 0.026886363339615433), ('binance', 0.0423779515335221), ('supply', 0.053772726679230866), ('binance smart', 0.03335125970526243), ('binance smart chain', 0.03335125970526243), ('smart chain', 0.03272514932731232), ('total', 0.035709913374755424), ('balances', 0.04090946411069112), ('token', 0.12153010990984474), ('collateralized', 0.03923595654234302), ('user', 0.026872920733826713), ('liquidity', 0.02613971515538804), ('defi', 0.036642092698061735), ('efficiency', 0.033762057055906146), ('standard', 0.16312648287633558), ('power', 0.06940604264225413), ('tokenusdunited', 0.05130612476456795), ('tokenusdunited states', 0.05130612476456795), ('pool', 0.04503119138684427), ('staked', 0.04703441613934823)]"
Stacks,"[('bitcoin', 0.1419498076042291), ('new', 0.05051468490575711), ('currency', 0.02469397798166601), ('btc', 0.03953124100639223), ('network', 0.02416409991701371), ('miners', 0.027470484824742424), ('cash', 0.032498721156808505), ('known', 0.03611972291752221), ('blockchain', 0.0810541951779724), ('years', 0.03518648545248062), ('smart', 0.05066115837040964), ('layer', 0.037621602925751375), ('base', 0.04391422371621491), ('introduces', 0.032498721156808505), ('platform', 0.03866612750130004), ('usd', 0.03159207774979626), ('tokens', 0.037727695708555345), ('trading', 0.023694058312347197), ('capital', 0.02539186167834428), ('open', 0.025286156583664704), ('circulation', 0.03683405476230563), ('billion', 0.02379828879787273), ('states', 0.03159207774979626), ('supply', 0.03159207774979626), ('total', 0.031469959664780174), ('coinmarketcap', 0.023694058312347197), ('including', 0.04290559581392522), ('platforms', 0.023138255146996557), ('smart contracts', 0.033784474032284045), ('contracts', 0.0332967745714047), ('uses', 0.03333985464595108), ('designed', 0.022709421978381963), ('token', 0.026775111555036847), ('sale', 0.025338736690367424), ('dapps', 0.025286156583664704), ('original', 0.04280242685848893), ('build', 0.023759303701534958), ('secure', 0.02280524748730405), ('used', 0.030079248427652253), ('features', 0.023494406340478426), ('language', 0.03118667475681237), ('programming', 0.02962984216665359), ('range', 0.02755121902025545), ('systems', 0.02771660482926486), ('january', 0.027887504503245654), ('programming language', 0.03318327190588571), ('bitcoin blockchain', 0.05548023776425751), ('ali', 0.04315901037450486), ('powerful', 0.03369635130376235), ('compared', 0.031708465313051735), ('unlock', 0.03118667475681237), ('prominent', 0.031023914563974537), ('schedule', 0.029753378637442582)]"
