bitcoin,"[('Bitcoin', 0.46539813442762), ('Bitcoin Cash', 0.36409150663304185), ('Bitcoin Gold', 0.33484191396109636), ('Wrapped Bitcoin', 0.24942095790982935), ('Bitcoin BEP2', 0.23725482768059047), ('Bitcoin SV', 0.22075953742808652), ('Bitcoin Diamond', 0.1907706343781873), ('eCash', 0.18038805617265158), ('Bitcoin Standard Hashrate Token', 0.1610747324466146), ('Stacks', 0.1419498076042291), ('renBTC', 0.1377646549168113), ('RSK Smart Bitcoin', 0.12612224241729603), ('Verge', 0.09032392880872937), ('Ravencoin', 0.0866001037423558), ('Groestlcoin', 0.07826395196103775), ('Keep Network', 0.0782385742109766), ('DeFiChain', 0.07392874531767894), ('DigiByte', 0.0721502802547603), ('HEX', 0.07038464639782509), ('Qtum', 0.06357828707874737), ('Kadena', 0.05929979340841099), ('Ethereum Classic', 0.05878746561807712), ('Litecoin', 0.05737628886241614), ('Badger DAO', 0.05627146342018908), ('Stratis', 0.05241835723295082), ('Tether', 0.051265894792502036), ('Zcash', 0.04885699120903481), ('Monero', 0.044527312555324786), ('Ren', 0.04393915956447678), ('TerraClassicUSD', 0.04060332739629225), ('Dash', 0.038969209694783284), ('Tezos', 0.038123184839420746), ('e-Radix', 0.03809539311054659), ('IOTA', 0.03769546365181158), ('TRON', 0.03628547845293503), ('ABBC Coin', 0.035597903304389146), ('Dero', 0.035525795803259236), ('Mina', 0.03466558726477818), ('Avalanche', 0.034578787726872534), ('Ethereum', 0.03305430320654702), ('Venus', 0.03300546356523405), ('Civic', 0.03290548386256576), ('Nexo', 0.03213325376519899), ('MonaCoin', 0.03156338790883315), ('Cosmos', 0.03109941946713555), ('Internet Computer', 0.02904027044610998), ('VeChain', 0.025885321204338885), ('Cardano', 0.02451051086559612), ('FTX Token', 0.02390001965146963)]"
energy,"[('Powerledger', 0.4161555783107919), ('Energy Web Token', 0.41589987297989045), ('Efforce', 0.25205696833875185), ('Bitcoin', 0.15685645529174974), ('Bitcicoin', 0.039226502965105596), ('Splintershards', 0.02621820157665229), ('Polygon', 0.02381208312470898)]"
bitcoins,"[('Bitcoin', 0.12066812976539032), ('Syscoin', 0.04878208367238013), ('Tether', 0.04785187794250013), ('Bitcoin Standard Hashrate Token', 0.03855078766854393), ('Bitcoin Cash', 0.020228874062959562)]"
mining,"[('Electroneum', 0.11091550582745612), ('Bitcoin', 0.11076779868866223), ('Bitcoin Standard Hashrate Token', 0.10063420342988146), ('Ravencoin', 0.08612616898257025), ('Verge', 0.07860091289881772), ('Monero', 0.07749635034567427), ('Ethereum Classic', 0.06821003065346656), ('GMT Token', 0.06628651058526876), ('MXC', 0.060878946419120346), ('Mines of Dalarnia', 0.05451841467644583), ('Siacoin', 0.05346448580855119), ('Firo', 0.051726954157130405), ('Helium', 0.051584795165890665), ('Dego Finance', 0.05067096187481072), ('MonaCoin', 0.04882990240982566), ('Fruits', 0.04621220539549794), ('Kunci Coin', 0.04411565839828129), ('Bitcoin Gold', 0.038851100273199456), ('Mdex', 0.035997902930298836), ('Horizen', 0.03552992114029302), ('Aleph.im', 0.03376972855449305), ('DigiByte', 0.03348586489375778), ('BinaryX', 0.031053926521929974), ('Elitium', 0.030341851150719426), ('Bitcoin Cash', 0.03017491249076007), ('Steem', 0.02985158641095795), ('Biswap', 0.029321270111110177), ('Dero', 0.027479957904314088), ('Arweave', 0.02741750206745208), ('Bella Protocol', 0.027195589220584748), ('SwissBorg', 0.026599597653458703), ('Dogecoin', 0.026425104683239976), ('Zilliqa', 0.026059920244499594), ('dYdX', 0.023440016951509032), ('PAX Gold', 0.023264931314543064), ('Nano', 0.023164564282040525), ('Dash', 0.02260763378618224), ('Unifi Protocol DAO', 0.02183665396081023)]"
bitcoin price,"[('Bitcoin', 0.08861047119534557), ('RSK Smart Bitcoin', 0.05853245178448699)]"
fork,"[('Bitcoin', 0.08833257702323061), ('DFI.Money', 0.07610853349358947), ('Cardano', 0.06597517321691097), ('eCash', 0.06474029756737242), ('EthereumPoW', 0.056083121741051886), ('Ravencoin', 0.04995049624978886), ('MonaCoin', 0.04247973442937814), ('Ethereum Classic', 0.03955969388402125), ('Wanchain', 0.03579262092571932), ('Bitcoin Cash', 0.035001019342041036), ('Kadena', 0.03192356261605647), ('Kusama', 0.030656299122757857), ('Verge', 0.03039072135962865), ('Bitcoin Gold', 0.030043237905842613), ('BitShares', 0.029756733861341124)]"
wallets,"[('Bitcoin', 0.08717658797660476), ('Frontier', 0.07065643260360653), ('LooksRare', 0.06581235456003184), ('SafePal', 0.06285641900859326), ('OKB', 0.04948175615607337), ('Ark', 0.04805745353961516), ('Powerledger', 0.04163184866746939), ('Syscoin', 0.0381794562103257), ('UMA', 0.030708947133508812), ('Ethereum Name Service', 0.030567602475009146), ('Binance USD', 0.029982214243021853), ('Toncoin', 0.024065848670483638)]"
new,"[('Sun (New)', 0.10773565235536477), ('Golem', 0.09345591741519986), ('Bitcoin', 0.07176779047715878), ('Flow', 0.07096342103128411), ('cVault.finance', 0.06969107454596933), ('Arweave', 0.06559063278163152), ('Steem', 0.05951139158645465), ('Guild of Guardians', 0.05478201181127257), ('Everscale', 0.05465216654233001), ('Merit Circle', 0.0529434987258588), ('DFI.Money', 0.05232284636697326), ('Uquid Coin', 0.05071791641036133), ('Stacks', 0.05051468490575711), ('Decentralized Social', 0.046639041989264066), ('Pundi X (New)', 0.04514816702087738), ('Polkadot', 0.04494232832311419), ('Chiliz', 0.04474883028214032), ('Electroneum', 0.04422368720668345), ('Synapse', 0.03940499795620913), ('Terra Classic', 0.03873985441124572), ('FUNToken', 0.03869975646198341), ('Terra', 0.036730604940320925), ('Ultra', 0.03624392423148725), ('Dash', 0.03605602003379702), ('Hive', 0.03561107972991705), ('Aion', 0.03548040508275228), ('SKALE', 0.03531244813577538), ('Dai', 0.03486276130787561), ('Neo', 0.03449790283907638), ('Binance USD', 0.03417610494884674), ('Internet Computer', 0.03224319655008025), ('Casper', 0.031055352702454558), ('Ampleforth', 0.030800454344146844), ('YooShi', 0.03063738779341799), ('PIVX', 0.030143655919687835), ('Bitcoin Cash', 0.030077983270353735), ('Smooth Love Potion', 0.02996824567415738), ('Stratis', 0.02909985632245983), ('Huobi Token', 0.0289148353426496), ('Tribe', 0.028796859305576405), ('SafePal', 0.02865949199527642), ('Reef', 0.028525138370448358), ('Tether', 0.02846007107918995), ('Bitcoin SV', 0.027853144828377387), ('Chainlink', 0.027164242790562388), ('Presearch', 0.026472063124219087), ('Seedify.fund', 0.025429068499624837), ('Alpine F1 Team Fan Token', 0.025272085315582365), ('ONUS', 0.025254267961094357), ('HUSD', 0.023592674720253077)]"
transactions,"[('Zcash', 0.11876532849422282), ('Wanchain', 0.10343755814663771), ('Beam', 0.0894024728267985), ('MultiversX (Elrond)', 0.08844830471954085), ('Mina', 0.07864992173947405), ('Hedera', 0.07786117496957114), ('Zilliqa', 0.07643646032800429), ('Optimism', 0.07616208792385229), ('IOTA', 0.0733064237082459), ('Stellar', 0.07103854434250108), ('XRP', 0.07051531209751125), ('Bitcoin', 0.06962003367609809), ('Avalanche', 0.06724541944456996), ('Dusk Network', 0.06609422068770951), ('Adshares', 0.0633599207261935), ('Bitcoin Cash', 0.06321868655723488), ('Pirate Chain', 0.060801802290926445), ('VeThor Token', 0.06034491904400415), ('Horizen', 0.059550262454859025), ('Nano', 0.05823778262275323), ('Ethereum', 0.05785267693639751), ('Dero', 0.05757255620511932), ('Groestlcoin', 0.05707500851294656), ('Automata Network', 0.05643723780207672), ('Synapse', 0.055214965537875506), ('Monero', 0.0541202064610576), ('Bitcicoin', 0.05223152185251225), ('Cosmos', 0.05039923905248536), ('Efinity Token', 0.048944185687768094), ('Toncoin', 0.04804802624681151), ('The Sandbox', 0.04681260962647822), ('Keep3rV1', 0.04657515830024879), ('Kadena', 0.04612815824802315), ('TRON', 0.04410276463397886), ('Biconomy', 0.043300569387619246), ('LATOKEN', 0.0422616956906424), ('VeChain', 0.0419493519069218), ('TomoChain', 0.04163625136437401), ('DeFiChain', 0.04107695427253977), ('FUNToken', 0.0406700767072852), ('Bitcoin SV', 0.039028308884304384), ('Aptos', 0.038065432908153694), ('Fantom', 0.03690176923951417), ('Neo', 0.036254294160325606), ('ABBC Coin', 0.03461364750492075), ('Audius', 0.034188633553554976), ('BitShares', 0.03224788876970147), ('LTO Network', 0.0321047998492331), ('Litecoin', 0.03187992957004638), ('Polygon', 0.03170665866361986), ('Algorand', 0.031589362046079664), ('Reef', 0.0299774384045982), ('Ark', 0.0287843469055598), ('Polkadot', 0.028338285933668734), ('Internet Computer', 0.028237328363810706), ('Bitgert', 0.02804765570022652), ('Filecoin', 0.0261396301968713), ('Kyber Network Crystal v2', 0.025655279906059113), ('Terra Classic', 0.024427329697779835), ('CEEK VR', 0.01789304909263415)]"
cryptocurrency,"[('BitTorrent-New', 0.1035079199429323), ('BitTorrent', 0.10039549295885149), ('Kin', 0.07830402194053984), ('Orchid', 0.0696329699764362), ('Flamingo', 0.06699097374540192), ('Litecoin', 0.06524989874965569), ('Rakon', 0.06518356836479995), ('Bitcoin', 0.06477002087604175), ('Celo', 0.06108335175533753), ('MonaCoin', 0.06091231251251292), ('Reserve', 0.059938469535411674), ('Tether', 0.05936100802336085), ('PAX Gold', 0.058043153759342304), ('Dash', 0.056403276942666114), ('SushiSwap', 0.0556592854095927), ('NEM', 0.054937475782104596), ('TrueUSD', 0.054387575917765475), ('Ren', 0.05299723818184391), ('Raydium', 0.052346119742237074), ('DigiByte', 0.05221445688241653), ('TrustSwap', 0.05205641423704169), ('Loopring', 0.05191924552637142), ('dYdX', 0.05116997460418493), ('Waves', 0.05020772093832852), ('Ethernity', 0.048681207808176696), ('Nexo', 0.0465090471524269), ('yearn.finance', 0.04629216740155422), ('Keep Network', 0.0452963968567399), ('Utrust', 0.04526695962945078), ('DEAPcoin', 0.04466689697436423), ('Celsius', 0.044641900168217716), ('Polkastarter', 0.04450218325973347), ('Horizen', 0.04432140047871528), ('Decred', 0.04341760038033698), ('Chrono.tech', 0.042969892027255485), ('Groestlcoin', 0.042479146276574994), ('Curve DAO Token', 0.04172415913822716), ('BarnBridge', 0.04073770301612587), ('BNB', 0.040403277337653414), ('Mask Network', 0.04036617610715658), ('Monero', 0.0402799793933665), ('BitShares', 0.04000182741535458), ('Status', 0.039819184789693964), ('Trust Wallet Token', 0.03975268588460421), ('Maker', 0.03974839821672907), ('TRON', 0.03938917236597208), ('Ethereum', 0.03827372497431596), ('Serum', 0.0374052694433911), ('Gods Unchained', 0.03737552513782455), ('Steem', 0.03723802569166443), ('Reef', 0.03718545192148591), ('Synthetix', 0.0365596399732286), ('Efforce', 0.03568482330833659), ('Lido DAO', 0.03537047540167181), ('Zcash', 0.035357329893676195), ('LCX', 0.03487908077028032), ('FTX Token', 0.03459242406749303), ('Cronos', 0.03427888980834138), ('Arweave', 0.03420165455643131), ('Dai', 0.03408539647455191), ('WOO Network', 0.03390579808627531), ('Dogecoin', 0.03296369960218253), ('Verge', 0.03268327489221842), ('Aave', 0.032412829606960375), ('Firo', 0.03226310356403194), ('Voyager Token', 0.03223654978481098), ('Wrapped Bitcoin', 0.03223277216459243), ('Ampleforth', 0.032121248263201806), ('Ethereum Classic', 0.03190793831191435), ('Golem', 0.03132756028154929), ('VeChain', 0.03122159246734828), ('Covalent', 0.030528221033189026), ('PIVX', 0.02947151701901844), ('OKB', 0.029410964146219406), ('Elastos', 0.02876972920989076), ('Bloktopia', 0.028688817803750523), ('JUST', 0.028523569891395543), ('Hive', 0.02785362320010827), ('Numeraire', 0.027847531356641475), ('Gemini Dollar', 0.02768264404228715), ('Livepeer', 0.027610313141945186), ('THORChain', 0.02752619137040489), ('Kunci Coin', 0.02751579092354128), ('Pax Dollar', 0.027038771263235308), ('Binance USD', 0.02673124086414075), ('Pundi X (New)', 0.026484875814898577), ('Alpine F1 Team Fan Token', 0.026355810128005547), ('XRP', 0.02624117223433311), ('Yield Guild Games', 0.026192113284042036), ('eCash', 0.0261090167574461), ('Compound', 0.02600972079968234), ('Loom Network', 0.025341678174422778), ('Elitium', 0.025233067284455245), ('Siacoin', 0.02501012679094541), ('HUSD', 0.02460438256574704), ('Bitcoin BEP2', 0.024528430552633162), ('USD Coin', 0.023673305408006554), ('Bitcoin Cash', 0.02352584698317275), ('Smooth Love Potion', 0.02344001443671472), ('Solana', 0.023035157316956236), ('DeFiChain', 0.022929220616019614), ('Stratis', 0.02276079353196777), ('Huobi Token', 0.02261607720505956), ('Metahero', 0.022473482729527646), ('Nano', 0.021672281365443413), ('Ark', 0.021423290412643486), ('renBTC', 0.021364059082184843), ('S.S. Lazio Fan Token', 0.020991152481879553), ('ONUS', 0.019752921543458278), ('Alien Worlds', 0.019656240774178286)]"
