Bitcoin,"['bitcoin', 'energy', 'bitcoins', 'mining', 'bitcoin price', 'fork', 'wallets', 'new', 'transactions', 'cryptocurrency']"
Ethereum,"['ethereum', 'eth', 'merge', 'network', 'ethereum price', 'ethereums', 'eip', 'block', 'upgrade', 'fee']"
Tether,"['tether', 'usdt', 'pierce', 'reserves', 'latin', 'cash', 'company', 'usd', 'app', 'mxnt']"
USD Coin,"['usdc', 'usd coin', 'stablecoin', 'circle', 'coin', 'usd', 'usdcs', 'report', 'reserve', 'reserve report']"
BNB,"['bnb', 'binance', 'bnb price', 'exchange', 'quarterly', 'supply bnb', 'zhao', 'price', 'burn', 'bnb coins']"
XRP,"['xrp', 'xrp ledger', 'sec', 'ledger', 'ripple', 'lawsuit', 'xrpl', 'howey', 'transactions', 'tokenization']"
Binance USD,"['busd', 'paxos', 'binance', 'binance usd', 'treasury bills', 'usd', 'bills', 'like', 'treasury', 'issued']"
Dogecoin,"['dogecoin', 'doge', 'musk', 'elon', 'musks', 'elon musk', 'markus', 'digital currency', 'board', 'core']"
Cardano,"['cardano', 'ada', 'alonzo', 'cardano price', 'hoskinson', 'smart', 'cip', 'smart contracts', 'blockchain', 'allow']"
Polygon,"['polygon', 'matic', 'carbon', 'ethereum', 'tokens', 'matic tokens', 'network', 'plasma', 'blockchain', 'jaynti']"
Polkadot,"['polkadot', 'dot', 'polkadot price', 'network', 'parachains', 'blockchains', 'proposals', 'parallel', 'tokens', 'governance']"
Dai,"['dai', 'maker', 'maker protocol', 'ust', 'stablecoin', 'collateral', 'issuance', 'protocol', 'vaults', 'managed']"
Litecoin,"['litecoin', 'ltc', 'litecoin price', 'upgrade', 'lee', 'charlie', 'charlie lee', 'mimblewimble', 'mweb', 'block']"
Solana,"['solana', 'sol', 'solana price', 'yakovenko', 'poh', 'solana foundation', 'solana protocol', 'price', 'consensus', 'protocol']"
TRON,"['tron', 'usdd', 'trx', 'content', 'collateral', 'value', 'value usdd', 'super representatives', 'creators', 'representatives']"
Shiba Inu,"['shiba', 'inu', 'shiba inu', 'shib', 'ryoshi', 'buterin', 'tokens', 'shi', 'shiba inu price', 'metaverse']"
Uniswap,"['uniswap', 'uni', 'users', 'genie', 'governance', 'token', 'uniswaps', 'protocol', 'governance token uni', 'token uni']"
Avalanche,"['avalanche', 'avax', 'subnets', 'subnet', 'blockchains', 'validators', 'validator', 'supply avax', 'xchain', 'gün']"
UNUS SED LEO,"['leo', 'sed', 'ifinex', 'sed leo', 'unus', 'unus sed', 'unus sed leo', 'bitfinex', 'tokens', 'leo tokens']"
Wrapped Bitcoin,"['wbtc', 'bitcoin', 'wrapped', 'wrapped bitcoin', 'ethereum', 'tokens', 'btc', 'network', 'custodian', 'merchants']"
Chainlink,"['chainlink', 'link', 'data', 'oracle', 'node', 'chainlink price', 'link tokens', 'nazarov', 'node operators', 'staking']"
Toncoin,"['ton', 'toncoin', 'network', 'telegram', 'ton network', 'gram', 'decentralized', 'services', 'blockchain', 'supply ton']"
Cosmos,"['cosmos', 'tendermint', 'atom', 'blockchain', 'cosmos hub', 'blockchains', 'interchain', 'network', 'hub', 'ibc']"
Monero,"['xmr', 'monero', 'privacy', 'moneros', 'mining', 'transactions', 'use', 'xmr coins', 'senders recipients', 'supply xmr']"
Ethereum Classic,"['classic', 'ethereum', 'ethereum classic', 'classicusdunited states', 'classicusdunited', 'major', 'occurred', 'network', 'dao', 'mining']"
Stellar,"['stellar', 'xlm', 'sdf', 'lumens', 'network', 'stellar network', 'transactions', 'money', 'financial', 'moneygram']"
Bitcoin Cash,"['cash', 'bitcoin cash', 'bitcoin', 'bch', 'block size', 'block', 'size', 'transactions', 'blocks', 'fees']"
Algorand,"['algorand', 'algo', 'algorand price', 'pure proofofstake', 'pure', 'block', 'proofofstake', 'algorand blockchain', 'blockchain', 'proposing']"
Cronos,"['cro', 'cronos', 'cryptocom', 'cronos chain', 'chain', 'supply cro', 'cryptocoms', 'blockchain', 'adoption', 'app']"
Quant,"['quant', 'qnt', 'overledger', 'quant network', 'different', 'network', 'tokens', 'qnt tokens', 'blockchain', 'project']"
Filecoin,"['filecoin', 'storage', 'fil', 'miners', 'data', 'clients', 'retrieval', 'storage miners', 'network', 'file']"
ApeCoin,"['apecoin', 'ape', 'apecoin dao', 'ape foundation', 'dao', 'ecosystem', 'apecoin dao members', 'yuga labs', 'ape ecosystem', 'yuga']"
