name,url
Bitcoin,https://coinmarketcap.com/currencies/bitcoin/
Ethereum,https://coinmarketcap.com/currencies/ethereum/
Tether,https://coinmarketcap.com/currencies/tether/
USD Coin,https://coinmarketcap.com/currencies/usd-coin/
BNB,https://coinmarketcap.com/currencies/bnb/
XRP,https://coinmarketcap.com/currencies/xrp/
Binance USD,https://coinmarketcap.com/currencies/binance-usd/
Dogecoin,https://coinmarketcap.com/currencies/dogecoin/
Cardano,https://coinmarketcap.com/currencies/cardano/
Polygon,https://coinmarketcap.com/currencies/polygon/
Polkadot,https://coinmarketcap.com/currencies/polkadot-new/
Dai,https://coinmarketcap.com/currencies/multi-collateral-dai/
Litecoin,https://coinmarketcap.com/currencies/litecoin/
Solana,https://coinmarketcap.com/currencies/solana/
TRON,https://coinmarketcap.com/currencies/tron/
Shiba Inu,https://coinmarketcap.com/currencies/shiba-inu/
Uniswap,https://coinmarketcap.com/currencies/uniswap/
Avalanche,https://coinmarketcap.com/currencies/avalanche/
UNUS SED LEO,https://coinmarketcap.com/currencies/unus-sed-leo/
Wrapped Bitcoin,https://coinmarketcap.com/currencies/wrapped-bitcoin/
Chainlink,https://coinmarketcap.com/currencies/chainlink/
Toncoin,https://coinmarketcap.com/currencies/toncoin/
Cosmos,https://coinmarketcap.com/currencies/cosmos/
Monero,https://coinmarketcap.com/currencies/monero/
Ethereum Classic,https://coinmarketcap.com/currencies/ethereum-classic/
Stellar,https://coinmarketcap.com/currencies/stellar/
Bitcoin Cash,https://coinmarketcap.com/currencies/bitcoin-cash/
Algorand,https://coinmarketcap.com/currencies/algorand/
Cronos,https://coinmarketcap.com/currencies/cronos/
Quant,https://coinmarketcap.com/currencies/quant/
Filecoin,https://coinmarketcap.com/currencies/filecoin/
ApeCoin,https://coinmarketcap.com/currencies/apecoin-ape/
NEAR Protocol,https://coinmarketcap.com/currencies/near-protocol/
VeChain,https://coinmarketcap.com/currencies/vechain/
OKB,https://coinmarketcap.com/currencies/okb/
Hedera,https://coinmarketcap.com/currencies/hedera/
Internet Computer,https://coinmarketcap.com/currencies/internet-computer/
EOS,https://coinmarketcap.com/currencies/eos/
MultiversX (Elrond),https://coinmarketcap.com/currencies/elrond-egld/
Terra Classic,https://coinmarketcap.com/currencies/terra-luna/
Flow,https://coinmarketcap.com/currencies/flow/
Huobi Token,https://coinmarketcap.com/currencies/huobi-token/
Trust Wallet Token,https://coinmarketcap.com/currencies/trust-wallet-token/
Pax Dollar,https://coinmarketcap.com/currencies/paxos-standard/
Tezos,https://coinmarketcap.com/currencies/tezos/
Bitcoin SV,https://coinmarketcap.com/currencies/bitcoin-sv/
Aave,https://coinmarketcap.com/currencies/aave/
The Sandbox,https://coinmarketcap.com/currencies/the-sandbox/
Chiliz,https://coinmarketcap.com/currencies/chiliz/
Theta Network,https://coinmarketcap.com/currencies/theta-network/
Axie Infinity,https://coinmarketcap.com/currencies/axie-infinity/
TrueUSD,https://coinmarketcap.com/currencies/trueusd/
Zcash,https://coinmarketcap.com/currencies/zcash/
Chain,https://coinmarketcap.com/currencies/chain/
Decentraland,https://coinmarketcap.com/currencies/decentraland/
USDD,https://coinmarketcap.com/currencies/usdd/
BitDAO,https://coinmarketcap.com/currencies/bitdao/
Fantom,https://coinmarketcap.com/currencies/fantom/
KuCoin Token,https://coinmarketcap.com/currencies/kucoin-token/
BitTorrent-New,https://coinmarketcap.com/currencies/bittorrent-new/
Gemini Dollar,https://coinmarketcap.com/currencies/gemini-dollar/
Aptos,https://coinmarketcap.com/currencies/aptos/
PancakeSwap,https://coinmarketcap.com/currencies/pancakeswap/
Maker,https://coinmarketcap.com/currencies/maker/
Klaytn,https://coinmarketcap.com/currencies/klaytn/
eCash,https://coinmarketcap.com/currencies/ecash/
IOTA,https://coinmarketcap.com/currencies/iota/
Dash,https://coinmarketcap.com/currencies/dash/
Neutrino USD,https://coinmarketcap.com/currencies/neutrino-usd/
Neo,https://coinmarketcap.com/currencies/neo/
PAX Gold,https://coinmarketcap.com/currencies/pax-gold/
THORChain,https://coinmarketcap.com/currencies/thorchain/
Synthetix,https://coinmarketcap.com/currencies/synthetix/
The Graph,https://coinmarketcap.com/currencies/the-graph/
Osmosis,https://coinmarketcap.com/currencies/osmosis/
GMX,https://coinmarketcap.com/currencies/gmx/
Mina,https://coinmarketcap.com/currencies/mina/
Fei USD,https://coinmarketcap.com/currencies/fei-usd/
GateToken,https://coinmarketcap.com/currencies/gatetoken/
EthereumPoW,https://coinmarketcap.com/currencies/ethereum-pow/
Stacks,https://coinmarketcap.com/currencies/stacks/
Nexo,https://coinmarketcap.com/currencies/nexo/
Lido DAO,https://coinmarketcap.com/currencies/lido-dao/
Zilliqa,https://coinmarketcap.com/currencies/zilliqa/
Curve DAO Token,https://coinmarketcap.com/currencies/curve-dao-token/
Basic Attention Token,https://coinmarketcap.com/currencies/basic-attention-token/
1inch Network,https://coinmarketcap.com/currencies/1inch/
Loopring,https://coinmarketcap.com/currencies/loopring/
ImmutableX,https://coinmarketcap.com/currencies/immutable-x/
Casper,https://coinmarketcap.com/currencies/casper/
Kava,https://coinmarketcap.com/currencies/kava/
Enjin Coin,https://coinmarketcap.com/currencies/enjin-coin/
Decred,https://coinmarketcap.com/currencies/decred/
NEM,https://coinmarketcap.com/currencies/nem/
Arweave,https://coinmarketcap.com/currencies/arweave/
Holo,https://coinmarketcap.com/currencies/holo/
Compound,https://coinmarketcap.com/currencies/compound/
Convex Finance,https://coinmarketcap.com/currencies/convex-finance/
